COMPANY_ID,IQ_BUSINESS_DESCRIPTION
807324,"Rhein Biotech N.V. was acquired by Berna Rhein B.V. Rhein Biotech N.V., a biotechnology group, engages in the research, development, production, and marketing of vaccines in the areas of respiratory, travel and hepatitis B/paediatric primarily in Asia and internationally. The company is based in Maastricht, the Netherlands."
47593327,"Ribomic Inc. discovers and develops pharmaceutical compounds using RNA aptamers in Japan. The company develops drugs for wet age-related macular degeneration, achondroplasia, pulmonary arterial hypertension, proliferative vitreoretinopathy, heart failure, osteoarthritis, and asthma, as well as separating agents for affinity purification of human IgG and Fc-fusion proteins. Ribomic Inc. was incorporated in 2003 and is headquartered in Tokyo, Japan."
697015966,"TYK Medicines, Inc., a clinical-stage biopharmaceutical company, focuses on the discovery, acquisition, development, and commercialization of therapies to address unmet medical needs in cancer treatment. Its lead product candidate is TY-9591, a third-generation epidermal growth factor receptor (EGFR)-tyrosine kinase inhibitor for the treatment of brain metastases from non-small cell lung cancer (NSCLC) with EGFR mutations, and in locally advanced or metastatic NSCLC with EGFR L858R mutation. The company also develops TY-302, an oral cyclin-dependent kinase (CDK) 4/6 inhibitor to treat solid tumors, including breast cancer and prostate cancer; TY-2136b, an oral ROS proto-oncogene 1/neurotrophic tyrosine receptor kinase inhibitor for the treatment of solid tumors; TY-2699a, a selective CDK7 inhibitor for the treatment of advanced/metastatic solid tumors; and TY-0540, a selective CDK2/4/6 inhibitor to treat advanced/metastatic solid tumors. In addition, it develops TY-4028, an oral exon 20 insertion-TKI targeting locally advanced or metastatic NSCLC with EGFR exon 20 or HER2 exon 20 insertions; TY-1091, a potent and selective rearranged during transfection proto-oncogene (RET) inhibitor for the treatment of advanced NSCLC with RET gene fusion, advanced medullary thyroid cancer with RET gene mutation, and other advanced solid tumors with RET gene alterations; TY-1054, an oral yes associated protein-transcriptional enhanced associate domain inhibitor for cancer treatment; TY-1210, a selective CDK2 inhibitor to treat solid tumors; TY-0609, a selective CDK4 inhibitor for the treatment of cancer; and TY-3200, an EGFR degrader. The company was incorporated in 2017 and is headquartered in Huzhou, China."
102942,"As of June 28, 2023, BELLUS Health Inc. was acquired by GSK plc. BELLUS Health Inc., a clinical-stage biopharmaceutical company, develops therapeutics for the treatment of refractory chronic cough (RCC) and other cough hypersensitivity indications. Its lead product candidate includes BLU-5937, an antagonist of the P2X3 receptor, which is in Phase II clinical trial for treatment of RCC and chronic pruritus. BELLUS Health Inc. was incorporated in 1993 and is based in Laval, Canada."
31370,"Memory Pharmaceuticals Corp. develops drugs for the treatment of central nervous system conditions. It offers drugs for neurological diseases associated with ageing, such as Alzheimer�s disease, and psychiatric disorders, such as schizophrenia, cognitive impairment associated with schizophrenia (CIAS), and depression. The company was incorporated in 1997 and is based in Montvale, New Jersey. Memory Pharmaceuticals Corp. operates as a subsidiary of Roche Holding AG."
324565060,"Unity Biotechnology, Inc., a biotechnology company, engages in the research and development of therapeutics to slow, halt, or reverse diseases of aging. The company�s lead drug candidate includes UBX1325, which is Phase 2 clinical trial for the treatment of age-related diseases of the eye, including diabetic macular edema, age-related macular degeneration, and diabetic retinopathy. It also develops UBX1967 for the treatment of ophthalmologic diseases; UBX2048, a Tie2/VEGF bispecific; UBX2050, a human anti-Tie2 agonist monoclonal antibody for the treatment of eye diseases; and UBX2089, a ?-Klotho hormone drug candidate for multiple neurology indications. The company was formerly known as Forge, Inc. and changed its name to Unity Biotechnology, Inc. in January 2015. Unity Biotechnology, Inc. was incorporated in 2009 and is headquartered in South San Francisco, California."
539392639,"Cullinan Therapeutics, Inc., a biopharmaceutical company, focuses on developing oncology therapies for cancer patients in the United States. The company�s lead program comprises CLN-619, a monoclonal antibody that is in Phase I clinical trial for the treatment of solid tumors. Its development portfolio also includes CLN-049, a humanized bispecific antibody that is in Phase I clinical trial for the treatment of acute myeloid leukemia or myelodysplastic syndrome; CLN-418, a human bispecific immune activator that is in Phase 1 clinical trial for the treatment of multiple solid tumors; and Zipalertinib, a bioavailable small-molecule for treating patients with non-small cell lung cancer. In addition, the company�s development products comprise CLN-617, a fusion protein for the treatment of solid tumors; and CLN-978, a T cell engaging antibody for the treatment relapsed/refractory B-cell non-Hodgkin lymphoma. It has license and collaboration agreement with Adimab, LLC to discover and/or optimize antibodies; Harbour BioMed US Inc. for the development, manufacturing, and commercialization of CLN-418; and co-development agreement with Taiho Pharmaceutical Co., Ltd to develop Zipalertinib. Cullinan Therapeutics, Inc. was formerly known as Cullinan Oncology, Inc. and changed its name to Cullinan Therapeutics, Inc. in April 2024. Cullinan Therapeutics, Inc. was incorporated in 2016 and is headquartered in Cambridge, Massachusetts."
25391880,"CanBas Co., Ltd., a clinical stage biopharmaceutical company, develops therapeutics for cancer patients. It develops CBP501, a calmodulin-modulating peptide to treat various cancer; and CBS9106, a reversible exportin-1inhibitor that is in Phase I clinical trial for the treatment of solid tumors. The company has a collaboration alliance with Stemline Therapeutics, Inc. CanBas Co., Ltd. was incorporated in 2000 and is based in Numazu, Japan."
542085131,"Kymera Therapeutics, Inc., a biopharmaceutical company, focuses on discovering and developing novel small molecule therapeutics that selectively degrade disease-causing proteins by harnessing the body�s own natural protein degradation system. It engages in developing IRAK4 program, which is in Phase II clinical trial for the treatment of immunology-inflammation diseases, including hidradenitis suppurativa, atopic dermatitis; STAT3 program for the treatment of hematologic malignancies and solid tumors, as well as autoimmune diseases and fibrosis; and MDM2 program to treat hematological malignancies and solid tumors. The company develops STAT6, a Type 2 inflammation in allergic diseases; and TYK2, a treatment for inflammatory bowel disease, psoriasis, psoriatic arthritis, and lupus. The company was incorporated in 2015 and is headquartered in Watertown, Massachusetts."
72510621,"Bicycle Therapeutics plc, a clinical-stage biopharmaceutical company, develops a class of medicines for diseases that are underserved by existing therapeutics in the United States and the United Kingdom. Its product pipeline comprising BT8009, a bicycle toxin conjugate (BTC) which is in phase I/II/III clinical trial for the treatment of high nectin-4 expressing tumors; BT5528, a BTC which is in phase I/II clinical trial for the treatment of Ephrin type A receptor 2 expressing tumor; BT7480, a Bicycle TICA molecule which is in phase I/II targeting Nectin-4 and agonizing CD137; and BT7455, a Bicycle TICA molecule targeting Ephrin type A receptor 2 and CD137 and is in preclinical trial. The company also developing BT1718, a bicycle toxin conjugate (BTC), which is in Phase I/IIa clinical trials targeting tumors that express Membrane Type 1 matrix metalloprotease; and BT7401, a multivalent bicycle CD137 agonist which is in phase IIa to treat advanced solid tumors. In addition, it develops Novel anti-infective, which is in preclinical trial targeting anti-infectives disease; CNS targets, which is in preclinical trial targeting CNS disease; and Novel neuromuscular targets, which is in preclinical trial targeting neuromuscular disease. Further, the company collaborates with biopharmaceutical companies and organizations to develop programs in therapeutic areas. It has collaboration and license agreement with Bayer Consumer Care AG; Novartis Pharma AG; Cancer Research UK; Cancer Research Technology Ltd; and Oxurion NV. Bicycle Therapeutics plc was incorporated in 2009 and is headquartered in Cambridge, the United Kingdom."
35781,"As of November 2, 2011, Trimeris Inc was acquired by Synageva BioPharma Corp., in a reverse merger transaction. Trimeris, Inc., a biopharmaceutical company, engages in the development of a class of antiviral drug treatments. Its fusion inhibitors prevent viral fusion, a complex process by which viruses attach to, penetrate, and infect host cells. The company offers FUZEON, a 36-amino acid synthetic peptide that binds to a key region of a human immunodeficiency virus (HIV) surface protein called gp41; and blocks HIV viral fusion by interfering with certain structural rearrangements within gp41 that are required for HIV to fuse to and enter a host cell. It has a development and license agreement with F. Hoffmann-La Roche Ltd. to develop and market FUZEON. In addition, Trimeris, Inc., offers TRI-1144, a development-stage compound, which completed phase I stage clinical trail to treat and potentially prevent the transmission of HIV. The company was founded in 1993 and is based in Durham, North Carolina."
737474,"Merz Aesthetics, Inc. develops and manufactures medical aesthetic products for physicians and patients. The company offers injectables; medical devices; and skincare products. Merz Aesthetics, Inc. was formerly known as BioForm Medical, Inc. and changed its name to Merz Aesthetics, Inc. in February 2010. The company was incorporated in 1999 and is headquartered in Raleigh, North Carolina with additional offices worldwide. Merz Aesthetics, Inc. operates as a subsidiary of Merz Pharmaceuticals GmbH."
276645250,"MariMed Inc. engages in cultivation, production, and dispensing of medicinal and recreational cannabis in the United States and internationally. The company sells flowers and concentrates under the Nature�s Heritage brand; and soft and chewy baked goods and a hot chocolate mix under Bubby�s Baked brand; and drink mix under Vibations brand. It also offers chewable cannabis-infused mint tablet under the brand Kalm Fusion; and flower, vapes, and edibles under InHouse brand. In addition, the company provides supplement, nutrient-infused fruit chews under Betty�s Eddies brand and ice creams under Emack & Bolio�s brand. The company licenses its brands. MariMed Inc. was incorporated in 2011 and is based in Norwood, Massachusetts."
7406282,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its product pipeline comprising Viaskin Peanut, an immunotherapy product, which has completed Phase 3 clinical trial for the treatment of peanut allergies; and Viaskin Milk which is in Phase 1/2 clinical trial for the treatment of immunoglobulin E (IgE) mediated or cow�s milk protein allergy and eosinophilic esophagitis. The company�s earlier stage research programs includes vaccine for the respiratory syncytial virus, potential treatments for inflammatory bowel disease, celiac disease, and type I diabetes. In addition, it develops Viaskin technology platform, a platform to potentially treat food allergy. The company has a collaboration with Nestl� Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France."
307970474,"Mereo BioPharma Group plc, a biopharmaceutical company, develops and commercializes therapeutics for the treatment of oncology and rare diseases in the United Kingdom, the United States, and internationally. It develops Etigilimab (MPH-313), an antibody T-cell immunoreceptor with Ig and ITIM domains, which is in Phase 1b clinical trial for the treatment of tumors. The company is also developing Navicixizumab (OMP-305B83), which has completed Phase 1b clinical trials for the treatment of the late line ovarian cancer; Acumapimod (BCT-197), a p38 MAP kinase inhibitor that is in Phase II clinical trials to treat acute exacerbations of chronic obstructive pulmonary disease; and Leflutrozole (BGS-649), an oral aromatase inhibitor for the treatment of hypogonadotropic hypogonadism which is in Phase 2 trials. In addition, it develops rare disease product candidates, including Setrusumab (BPS-804), an antibody for the treatment of osteogenesis imperfecta; and Alvelestat (MPH-966), an oral small molecule that is in Phase II clinical trial to treat Alpha-1 anti-trypsin deficiency. The company has a license agreement with Feng Biosciences for the development and commercialization of navicixizumab; license agreement with ReproNovo for the development and commercialization of leflutrozole; licensing agreement with AstraZeneca; and license agreement with Ultragenyx Pharmaceutical Inc. to develop and commercialize setrusumab. Mereo BioPharma Group plc was incorporated in 2015 and is headquartered in London, the United Kingdom."
998222,"As of February 28, 2003, Biosearch Italia SpA was acquired by Versicor, Inc. Biosearch Italia SpA, prior to the merger, was engaged in discovery, development, production, and commercialization of antibiotics for the cure of serious infections caused from multi resistant microorganisms, such as bacteria and fungi. Its operations included both the research of new active ingredients in the antibiotics segment for human usage; and the pre-clinical and clinical development of existing molecules, as well as the development of processes for manufacturing active ingredients."
547384378,"Modalis Therapeutics Corporation engages in the research and development of therapeutics to treat patients with serious genetic disorders. It is developing therapies for genetic diseases using its proprietary CRISPR-GNDM technology that enables to control gene expressions through modulating the switch (epigenetics of a specific locus. The company has a. joint research agreement with JCR Pharmaceuticals Co., Ltd. to evaluate the drug delivery technology of the gene therapy to the central nervous system (CNS) assuming CNS diseases as a target. The company was formerly known as EdiGENE Corporation and changed its name to Modalis Therapeutics Corporation in August 2019. Modalis Therapeutics Corporation was founded in 2016 and is headquartered in Tokyo, Japan."
144939852,"Madrigal Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, focuses on the development of therapeutics for the treatment of non-alcoholic steatohepatitis (NASH) in the United States. Its lead product candidate is resmetirom, a liver-directed thyroid hormone receptor beta agonist, which is in Phase 3 clinical trials for treating NASH. The company is headquartered in West Conshohocken, Pennsylvania."
5705230,"Nichi-Iko Pharmaceutical Co., Ltd. manufactures, sells, and distributes various pharmaceutical products. It operates through two segments, Nichi-Iko Group and Sagent Group. The company primarily focuses on the production of generic drugs. It offers antidiabetic agents, antacids, antireflux agents, beta-blocker, hypnotic and sedative, angiotensin ? antagonist, angiotensin ? antagonist/diuretic combination, dyslipidaemic agent, and calcium antagonist products, as well as chemotherapeutic agents. The company also provides treatments for circulatory, digestive, respiratory, nervous system, allergies, and others. It supplies its products to medical institutions, including hospitals, clinics, dispensing pharmacies, etc. The company was formerly known as Nihon Iyakuhin Kogyo Co., Ltd. and changed its name to Nichi-Iko Pharmaceutical Co., Ltd. in 2005. Nichi-Iko Pharmaceutical Co., Ltd. was incorporated in 1947 and is headquartered in Toyama, Japan."
27725,"DRAXIS Health Inc. manufactures and sells pharmaceutical products. The company offers sterile products that include liquid and freeze-dried (lyophilized) injectables and sterile ointments; non-sterile products, such as solid oral, and liquid and semi-solid dosage forms; and radiopharmaceuticals for therapeutic and diagnostic molecular imaging applications. DRAXIS Health Inc. was formerly known as Deprenyl Research Limited and changed its name to DRAXIS Health Inc. in May 1993. The company was founded in 1987 and is based in Mississauga, Canada. As of May 28, 2008, DRAXIS Health Inc. operates as a subsidiary of Jubilant Pharmova Limited."
207074711,"Adverum Biotechnologies, Inc., a clinical-stage company, develops gene therapy product candidates to treat ocular diseases. Its lead product candidate is ixoberogene soroparvovec (ADVM-022), a single intravitreal injection gene therapy candidate used for the treatment of patients with wet age-related macular degeneration and diabetic macular edema which is in phase 2 clinical trials. The company is developing ADVM-062 (AAV.7m8-L-opsin), a novel gene therapy product candidate for the treatment of blue cone monochromacy via a single IVT injection. Adverum Biotechnologies, Inc. has license and collaboration agreements with University of California; GenSight Biologics; Lexeo Therapeutics; and Virovek, Inc. The company was formerly known as Avalanche Biotechnologies, Inc. and changed its name to Adverum Biotechnologies, Inc. in May 2016. Adverum Biotechnologies, Inc. was incorporated in 2006 and is headquartered in Redwood City, California."
878596,"Teva Pharmaceuticals Australia Pty Ltd develops peptide and protein based therapeutic drugs for inflammatory diseases and cancer. The company's products include ART621, a domain antibody-based compound for the treatment of rheumatoid arthritis and other autoimmune diseases; PMX53, an anti-inflammatory treatment for age-related macular degeneration and arthritis diseases; ART010, an anti-cancer compound for the treatment of osteoporosis and bone cancer; ART150, an anti-cancer compound for the treatment of lung cancer and melanoma; and ART104, an anti-cancer compound for the treatment of solid tumor cancers. The company also offers anti-cancer compounds, such as ART101 for colorectal cancer; ART140 for leukemia; and ART160 for solid tumors. Teva Pharmaceuticals Australia Pty Ltd was formerly known as Cephalon Australia Pty Ltd and changed its name to Teva Pharmaceuticals Australia Pty Ltd in August 2013. The company was incorporated in 1985 and is based in Macquarie Park, Australia. Teva Pharmaceuticals Australia Pty Ltd operates as a subsidiary of Cephalon, Inc."
253892234,"Spyre Therapeutics, Inc., a preclinical stage biotechnology company, focuses on developing therapeutics for patients living with inflammatory bowel disease (IBD). It develops SPY001, a human monoclonal immunoglobulin G1 antibody designed to bind selectively to the ?4?7 integrin being developed for the treatment of IBD (ulcerative colitis and Crohn�s disease). The company is also developing SPY002, a human monoclonal antibody (mAb)candidates designed to bind to tumor necrosis factor-like ligand 1A; and SPY120, a combination of SPY001 (anti-?4?7) and SPY002 (anti-TL1A) antibodies, which are in preclinical studies. In addition, its other early-stage programs include SPY003, an anti-IL-23 mAb; SPY004, a novel mechanism of action (MOA) mAb; SPY130, a combination of anti-?4�7 and anti-IL-23 mAbs; and SPY230, a combination of anti-TL1A and anti-IL-23 mAbs. The company was formerly known as Aeglea BioTherapeutics, Inc. and changed its name to Spyre Therapeutics, Inc. in November 2023. Spyre Therapeutics, Inc. was incorporated in 2013 and is based in Waltham, Massachusetts."
415070654,"Hiku Brands Company Ltd. engages in the handcrafted cannabis production activities in Canada. The company also operates cannabis retail stores. In addition, it operates a network of retail stores that sells coffee, clothing products, and curated accessories in British Columbia, Alberta, and Ontario. Hiku Brands Company Ltd. was formerly known as DOJA Cannabis Company Limited. The company was incorporated in 2021 and is based in West Kelowna, Canada. As of September 5, 2018, Hiku Brands Company Ltd. operates as a subsidiary of Canopy Growth Corporation."
206907980,"Nurix Therapeutics, Inc., a clinical stage biopharmaceutical company, focuses on the discovery, development, and commercialization of small molecule and cell therapies for the treatment of cancer, inflammatory conditions, and other diseases. The company develops NX-2127, an orally bioavailable Bruton�s tyrosine kinase (BTK) degrader for the treatment of relapsed or refractory B-cell malignancies; NX-5948, an orally bioavailable BTK degrader for the treatment of relapsed or refractory B-cell malignancies and autoimmune diseases; and NX-1607, an orally bioavailable Casitas B-lineage lymphoma proto-oncogene-B (CBL-B) inhibitor for immuno-oncology indications. It is also developing NX?0479/GS?6791, a IRAK4 degrader for the treatment of rheumatoid arthritis and other inflammatory diseases. The company has a strategic collaboration agreement with Gilead Sciences, Inc., Sanofi S.A., and Seagen Inc. co-development and co-commercialization for multiple drug candidates. The company was formerly known as Nurix Inc. and changed its name to Nurix Therapeutics, Inc. in October 2018. Nurix Therapeutics, Inc. was incorporated in 2009 and is headquartered in San Francisco, California."
24106,"As of March 28, 2003, 3-Dimensional Pharmaceuticals, Inc. was acquired by Johnson & Johnson. 3-Dimensional Pharmaceuticals, Inc. operates as a drug discovery and development company that has a pipeline of drug candidates in the areas of cancer and inflammation, and metabolic and cardiovascular diseases. The company has developed an integrated set of proprietary technologies called DiscoverWorks� to accelerate and improve the drug discovery process. DiscoverWorks� integrates high-throughput screening, combinatorial chemistry, and structure based design for efficient drug discovery using targets from genome sequencing. 3-Dimensional Pharmaceuticals use DiscoverWorks to discover and develop drugs for its own pipeline and in collaboration with pharmaceutical and biotechnology companies. In February, the company promoted John M. Gill, Executive Vice President and Chief Financial Officer, to the position of chief operating officer. In March, Melinda Rudolph was appointed to the position of vice president and general counsel."
23702931,"BioArctic AB (publ) develops biological drugs for patients with disorders of the central nervous system in Sweden. The company develops Lecanemab, Lecanemab AHEAD 3-45, and Lecanemab Back-up for the treatment of Alzheimer�s disease. In addition, the company develops AD-BT2802 and AD-BT2803 drug projects against Alzheimer�s disease that are being combined with blood-brain barrier technology and Brain Transporter to promote uptake of antibodies into the brain. Further, it develops BAN1503, BAN2802, BAN2803, and AD2603 for the treatment of Alzheimer�s disease; ND-BT3814, ND3014, andGD-BT6822 for the treatment of neurodegenerative disease; and PD1601, PD-BT2238, and PD1602 for the treatment of Parkinson�s disease. It has research collaboration agreement with Eisai and AbbVie. The company was formerly known as BioArctic Neuroscience AB and changed its name to BioArctic AB (publ) in 2016. BioArctic AB (publ) was incorporated in 2000 and is based in Stockholm, Sweden."
53339386,"As of November 13, 2023, Selecta Biosciences, Inc. was acquired by Cartesian Therapeutics, Inc., in a reverse merger transaction. Selecta Biosciences, Inc., a clinical-stage biopharmaceutical company, engages in the research and development of nanoparticle immunomodulatory drugs for the treatment and prevention of human diseases. The company�s lead therapeutic gene therapy program is SEL-302 that is in Phase I clinical trial to enhance the treatment of methylmalonic acidemia. It is also developing biologic therapies, such as SEL-212 that is in Phase III clinical trials for the treatment of chronic refractory gout; and product candidates to treat IgA-mediated diseases, including IgA nephropathy, linear IgA bullous dermatitis, IgA pemphigus, and Henoch-Schonlein purpura. In addition, the company is developing gene therapies comprising for the treatment of pompe disease, duchenne muscular dystrophy, limb-girdle muscular dystrophy, lysosomal storage disorder, and other autoimmune diseases. Further, it develops tolerogenic therapies to treat autoimmune diseases. The company has license and collaboration agreements with Ginkgo Bioworks Holdings, Inc.; Genovis AB (publ.); Cyrus Biotechnology, Inc.; IGAN Biosciences, Inc.; Astellas Therapeutics, Inc.; Takeda Pharmaceuticals USA, Inc.; Swedish Orphan Biovitrum AB (publ.); Sarepta Therapeutics, Inc.; Asklepios Biopharmaceutical, Inc.; Massachusetts Institute of Technology; and Shenyang Sunshine Pharmaceutical Co., Ltd. Selecta Biosciences, Inc. was incorporated in 2007 and is headquartered in Watertown, Massachusetts."
100249028,"Aura Biosciences, Inc., a clinical-stage biotechnology company, develops precision immunotherapies to treat a range of solid tumors. The company�s proprietary platform enables the targeting of a range of solid tumors using virus-like particles conjugated with drugs or loaded with nucleic acids to create virus-like drug conjugates. Its lead candidate is bel-sar, which is in late-stage clinical development for the treatment of patients with primary choroidal melanoma and other ocular oncology indications, as well as in early-stage clinical development in bladder cancer. The company also focuses on assessing the safety and efficacy of bel-sar in treating a range of other solid tumors, including bladder cancer as an alternative to bacillus calmette�gu�rin therapy. Aura Biosciences, Inc. was incorporated in 2009 and is headquartered in Boston, Massachusetts."
